Field1_links,image_url,superficie,prix,adresse
https://sn.coinafrique.com/annonce/terrains/terrain-lac-rose-4804057,https://images.coinafrique.com/thumb_4804057_uploaded_image1_1718972789.jpg,150 m2,2 500 000 CFA,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150m-diass-4772090,https://images.coinafrique.com/thumb_4772090_uploaded_image1_1717156144.jpg,150 ,1 500 000 CFA,"Ndiass, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-150m-lac-rose-4772051,https://images.coinafrique.com/thumb_4772051_uploaded_image1_1717155520.jpg,150 ,3 000 000 CFA,"Lac rose, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-150m-yenne-ndiatakh-4772039,https://images.coinafrique.com/thumb_4772039_uploaded_image1_1717155314.jpg,150 ,1 000 000 CFA,"Toubab Dialao, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-150m-diamniadio-4772061,https://images.coinafrique.com/thumb_4772061_uploaded_image1_1717155666.jpg,150 ,3 000 000 CFA,"Diamniadio, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-600m-sendou-4772080,https://images.coinafrique.com/thumb_4772080_uploaded_image1_1717155899.jpg,600 ,11 000 000 CFA,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-diamalaye-4782501,https://images.coinafrique.com/thumb_4782501_uploaded_image1_1717671204.02.jpeg,176 m2,70 000 000 CFA,"Diamalaye 1, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-zac-mbao-4782496,https://images.coinafrique.com/thumb_4782496_uploaded_image1_1717671094.79.jpeg,,22 500 000 CFA,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-172-m2-keur-massar-4782491,https://images.coinafrique.com/thumb_4782491_uploaded_image1_1717670890.48.jpeg,172 m2,11 500 000 CFA,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-225-m2-diamniadio-4803267,https://images.coinafrique.com/thumb_4803267_uploaded_image1_1718915259.jpg,225 ,16 000 000 CFA,"Diamniadio, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-197-m2-mbao-4803094,https://images.coinafrique.com/thumb_4803094_uploaded_image1_1718905712.jpg,197 ,29 000 000 CFA,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-1500m-almadies-4758689,https://images.coinafrique.com/thumb_4758689_uploaded_image1_1716482213.19.jpeg,1500 m2,Prix sur demande,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-200-m2-tf-ndiakhrate-cite-cooperatif-4758691,https://images.coinafrique.com/thumb_4758691_uploaded_image1_1716482293.08.jpeg,200 m2,22 000 000 CFA,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-300-m-tf-rufisque-zac-4758683,https://images.coinafrique.com/thumb_4758683_uploaded_image1_1716482076.37.jpeg,300 m2,50 000 000 CFA,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150m-yenne-nditakh-4758311,https://images.coinafrique.com/thumb_4758311_uploaded_image1_1716471290.jpg,150 ,1 000 000 CFA,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-150m-rufisque-4758221,https://images.coinafrique.com/thumb_4758221_uploaded_image1_1716468508.jpg,150 ,3 000 000 CFA,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-300m-toubab-dialao-4758200,https://images.coinafrique.com/thumb_4758200_uploaded_image1_1716467803.jpg,150 ,6 000 000 CFA,"Toubab Dialao, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-180-m2-diamniadio-4801196,https://images.coinafrique.com/thumb_4801196_uploaded_image1_1718803097.jpg,180 ,3 950 000 CFA,"Diamniadio, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-225m-mdiass-4758191,https://images.coinafrique.com/thumb_4758191_uploaded_image1_1716467577.jpg,225 ,2 000 000 CFA,"Ndiass, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-touba-4799833,https://images.coinafrique.com/thumb_4799833_uploaded_image1_1718719228.jpg,300 m2,Prix sur demande,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-600-m2-nianing-4799673,https://images.coinafrique.com/thumb_4799673_uploaded_image1_1718710912.jpg,600 ,8 000 000 CFA,"Malikounda, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-lac-rose-4798975,https://images.coinafrique.com/thumb_4798975_uploaded_image1_1718655992.jpg,150 m2,1 500 000 CFA,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-264m-almadies-4760691,https://images.coinafrique.com/thumb_4760691_uploaded_image1_1716574193.jpg,,130 000 000 CFA,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-219m-thies-4775401,https://images.coinafrique.com/thumb_4775401_uploaded_image1_1717344016.jpg,219 ,3 500 000 CFA,"Thies, Sénégal"
