Field1_links,image_url,superficie,prix,adresse
https://sn.coinafrique.com/annonce/terrains/vente-terrains-197-m2-mbao-4803094,https://images.coinafrique.com/thumb_4803094_uploaded_image1_1718905712.jpg,197.0,29000000,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-200-m2-tf-ndiakhrate-cite-cooperatif-4758691,https://images.coinafrique.com/thumb_4758691_uploaded_image1_1716482293.08.jpeg,200.0,22000000,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-300-m-tf-rufisque-zac-4758683,https://images.coinafrique.com/thumb_4758683_uploaded_image1_1716482076.37.jpeg,300.0,50000000,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150m-yenne-nditakh-4758311,https://images.coinafrique.com/thumb_4758311_uploaded_image1_1716471290.jpg,150.0,1000000,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-150m-rufisque-4758221,https://images.coinafrique.com/thumb_4758221_uploaded_image1_1716468508.jpg,150.0,3000000,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-300m-toubab-dialao-4758200,https://images.coinafrique.com/thumb_4758200_uploaded_image1_1716467803.jpg,150.0,6000000,"Toubab Dialao, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-180-m2-diamniadio-4801196,https://images.coinafrique.com/thumb_4801196_uploaded_image1_1718803097.jpg,180.0,3950000,"Diamniadio, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-225m-mdiass-4758191,https://images.coinafrique.com/thumb_4758191_uploaded_image1_1716467577.jpg,225.0,2000000,"Ndiass, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-600-m2-nianing-4799673,https://images.coinafrique.com/thumb_4799673_uploaded_image1_1718710912.jpg,600.0,8000000,"Malikounda, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-lac-rose-4798975,https://images.coinafrique.com/thumb_4798975_uploaded_image1_1718655992.jpg,150.0,1500000,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-219m-thies-4775401,https://images.coinafrique.com/thumb_4775401_uploaded_image1_1717344016.jpg,219.0,3500000,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-lac-rose-4797569,https://images.coinafrique.com/thumb_4797569_uploaded_image1_1718546972.jpg,150.0,2500000,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-yene-toubab-dialaw-4796964,https://images.coinafrique.com/thumb_4796964_uploaded_image1_1718477215.jpg,150.0,3500000,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-600m2-popenguine-sindia-4796952,https://images.coinafrique.com/thumb_4796952_uploaded_image1_1718476724.jpg,600.0,16000000,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-186m-a-kounoune-4789106,https://images.coinafrique.com/thumb_4789106_uploaded_image1_1718036824.jpg,186.0,19000000,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-180-m2-thies-4793749,https://images.coinafrique.com/thumb_4793749_uploaded_image2_1718277751.jpeg,180.0,4500000,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-maison-a-demolir-keur-mbaye-fall-4792870,https://images.coinafrique.com/thumb_4792870_uploaded_image1_1718220956.jpg,300.0,35000000,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-keur-mbaye-fall-cite-elevage-4792866,https://images.coinafrique.com/thumb_4792866_uploaded_image1_1718220577.jpg,150.0,20000000,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-600-m2-gandigal-4792400,https://images.coinafrique.com/thumb_4792400_uploaded_image1_1718202330.jpg,600.0,8000000,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-de-300m2-a-saly-4792380,https://images.coinafrique.com/thumb_4792380_uploaded_image1_1718201820.jpg,300.0,29000000,"Saly, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150m-dakar-bambilor-cite-comico-4792289,https://images.coinafrique.com/thumb_4792289_uploaded_image1_1718199482.jpg,150.0,2900000,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-300m-sicap-liberte-4792246,https://images.coinafrique.com/thumb_4792246_uploaded_image1_1718198265.jpg,300.0,16000000,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-225-m2-thies-4792101,https://images.coinafrique.com/thumb_4792101_uploaded_image1_1718193375.jpg,225.0,3000000,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-225m-thies-4791628,https://images.coinafrique.com/thumb_4791628_uploaded_image1_1718174527.jpg,225.0,1200000,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-150m-parcelle-assainies-4743656,https://images.coinafrique.com/thumb_4743656_uploaded_image1_1715719537.jpg,150.0,75000000,"Parcelle Assainies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-150-m2-keur-massar-4789758,https://images.coinafrique.com/thumb_4789758_uploaded_image1_1718069374.jpg,150.0,12000000,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-2-lots-rufisque-4753784,https://images.coinafrique.com/thumb_4753784_uploaded_image1_1716244195.jpg,188.0,32000000,"Patte d'oie, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-150-m2-thies-4789390,https://images.coinafrique.com/thumb_4789390_uploaded_image1_1718052141.jpg,150.0,3000000,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-216m-diasse-4789251,https://images.coinafrique.com/thumb_4789251_uploaded_image2_1718044001.jpeg,216.0,3000000,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-diamniadio-4789096,https://images.coinafrique.com/thumb_4789096_uploaded_image1_1718036311.jpg,150.0,11000000,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-150m-dakar-4746662,https://images.coinafrique.com/thumb_4746662_uploaded_image1_1715857785.jpg,150.0,10000000,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-maison-a-demolir-camberene-4746612,https://images.coinafrique.com/thumb_4746612_uploaded_image1_1715856958.jpg,150.0,45000000,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-a-deni-biram-ndao-nord-4788008,https://images.coinafrique.com/thumb_4788008_uploaded_image1_1717973174.jpg,150.0,2500000,"Lac rose, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-angle-kounoune-4787996,https://images.coinafrique.com/thumb_4787996_uploaded_image1_1717972609.jpg,168.0,10000000,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-grand-mbao-4739678,https://images.coinafrique.com/thumb_4739678_uploaded_image1_1715532262.jpg,365.0,50000000,"Patte d'oie, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-sipres-grand-mbao-4739438,https://images.coinafrique.com/thumb_4739438_uploaded_image1_1715520881.jpg,397.0,45000000,"Patte d'oie, Dakar, Sénégal"
