Field1_links,nb_piece,nb_bains,superficie,adresse
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-dieuppeul-derkle-4570708,6,12,285 ,"Dieuppeul-Derklé, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-keur-massar-4570690,3,6,150 ,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-avec-piscine-et-jardin-almadies-4570093,15,30,500 ,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-r2-cite-cheikh-amar-mamelles-4574474,9,18,350 ,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-keur-massar-4569164,3,6,160 m2,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-keur-massar-4569155,3,6,150 m2,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-8-pieces-mamelles-4569514,,,,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-mini-villa-meuble-2-pieces-almadies-4572554,9,18,300 ,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-2-pieces-residence-mangrove-4615821,,,,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-sicap-liberte-2-4568140,9,18,313 ,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-mariste-4571269,6,12,200 ,"Mariste, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-sicap-liberte-4614595,3,6,100 ,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-8-pieces-almadies-4567818,,,,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-duplex-5-pieces-habitat-ou-bureau-sacre-cur-4571222,6,12,200 ,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-mbour-4614271,6,12,,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-07-pieces-cite-keur-gorgui-4613268,9,18,300 ,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-ngerigne-4613089,30,60,1000 m2,"Saly, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-9-pieces-guediawaye-4611835,6,12,200 ,"Guediawaye, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-8-pieces-ngor-almadies-4564217,,,,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-dieuppeul-4563675,3,6,180 ,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-almadies-4563245,15,30,500 ,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-09-pieces-rufisque-4609085,27,54,900 ,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-mamelles-4562733,,,,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-parcelle-assainies-4562798,3,6,170 ,"Parcelle Assainies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-ouakam-4562366,,,,"Ouakam, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-sicap-liberte-5-4607293,6,12,,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-thies-azur-cite-soprim-4560806,,,,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-4606862,6,12,,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-diamniadio-4606853,6,12,225 m2,"Diamniadio, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-saly-4606726,15,30,560 ,"Saly, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villas-5-pieces-saly-4606528,6,12,206 ,"Saly, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-150m-diamniadio-4606021,3,6,150 m2,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-scat-urbam-4605521,,,,"Sicap foire, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-bayakh-4605433,,,,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-maison-r-2-sacre-cur-4558532,3,6,167 m2,"Mermoz-Sacré Coeur, Dakar, Sénégal"
