Field1_links,nb_piece,nb_bains,superficie,adresse
https://sn.coinafrique.com/annonce/villas/location-villa-duplex-5-pieces-habitat-ou-bureau-sacre-cur-4571222,6.0,12.0,200.0,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-mbour-4614271,6.0,12.0,150.0,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-9-pieces-guediawaye-4611835,6.0,12.0,200.0,"Guediawaye, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-8-pieces-ngor-almadies-4564217,6.0,12.0,150.0,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-dieuppeul-4563675,3.0,6.0,180.0,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-mamelles-4562733,6.0,12.0,150.0,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-parcelle-assainies-4562798,3.0,6.0,170.0,"Parcelle Assainies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-ouakam-4562366,6.0,12.0,150.0,"Ouakam, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-sicap-liberte-5-4607293,6.0,12.0,150.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-thies-azur-cite-soprim-4560806,6.0,12.0,150.0,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-4606862,6.0,12.0,150.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-diamniadio-4606853,6.0,12.0,225.0,"Diamniadio, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villas-5-pieces-saly-4606528,6.0,12.0,206.0,"Saly, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-150m-diamniadio-4606021,3.0,6.0,150.0,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-scat-urbam-4605521,6.0,12.0,150.0,"Sicap foire, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-bayakh-4605433,6.0,12.0,150.0,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-maison-r-2-sacre-cur-4558532,3.0,6.0,167.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-maison-yembeul-4604698,6.0,12.0,150.0,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-keur-massar-4603063,3.0,12.0,150.0,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-r3-parcelles-assainies-4602940,3.0,6.0,150.0,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-cite-alioune-sow-golf-sud-4559536,3.0,6.0,150.0,"Guediawaye, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-cite-keur-gorgui-4601206,6.0,12.0,150.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-8-pieces-garage-cite-mourtada-4600611,6.0,12.0,250.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-2-pieces-diamniadio-4600121,6.0,12.0,150.0,"Diamniadio, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-07-pieces-sacre-coeur-2-4561406,3.0,6.0,150.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-mini-villa-meuble-3-pieces-diamniadio-4598693,3.0,6.0,150.0,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-tivaoune-peulh-4553782,3.0,6.0,150.0,"Niaga, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-04-pieces-tivaouane-peulh-4598286,0.0,0.0,91.0,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-04-pieces-guediawaye-4598264,3.0,6.0,150.0,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-cite-keur-gorgui-4578285,6.0,12.0,250.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-05-pieces-sacre-coeur-4555163,6.0,12.0,200.0,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villas-5-pieces-almadies-4597038,6.0,12.0,150.0,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villas-4-pieces-thies-4596243,3.0,6.0,120.0,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-r2-zac-mbao-4595748,3.0,6.0,150.0,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-sacre-coeur-4548649,6.0,12.0,150.0,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-12-pieces-keur-massar-4592902,3.0,6.0,160.0,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-ngor-almadies-4546365,6.0,12.0,150.0,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-keur-massar-4591837,3.0,6.0,140.0,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villas-10-pieces-sipres-4591710,6.0,12.0,253.0,"Sipres, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-mini-villa-3-pieces-nord-foire-4591633,3.0,6.0,100.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-mbao-keur-massar-4591071,3.0,6.0,150.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-fass-4590923,6.0,12.0,150.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-9-pieces-keur-massar-4543938,3.0,6.0,150.0,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-almadies-4543864,6.0,12.0,200.0,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-mamelles-4543861,6.0,12.0,260.0,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-appartement-4-pieces-zac-mbao-4565705,3.0,6.0,150.0,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-mermoz-4550001,6.0,12.0,200.0,"Ouakam, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-sipres-4589014,6.0,12.0,150.0,"Sipres, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-dakar-zac-mbao-4548820,6.0,12.0,200.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-dakar-zac-mbao-4548805,6.0,12.0,150.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-sacre-coeur-4542624,3.0,6.0,170.0,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-9-pieces-sicap-liberte-4562979,0.0,0.0,88.0,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-point-e-4587917,6.0,12.0,239.0,"Point E, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-almadies-4543595,6.0,12.0,150.0,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villas-5-pieces-ouest-foire-4541240,3.0,6.0,150.0,"Ouest Foire, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-sicap-liberte-4541232,3.0,6.0,175.0,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-sacre-cur-4541236,6.0,12.0,150.0,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villas-sicap-liberte-4541225,6.0,12.0,150.0,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-castors-rufisque-4586494,3.0,6.0,180.0,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-ngor-4553256,6.0,12.0,150.0,"Ngor, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-liberte-4-4538721,3.0,6.0,150.0,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-maison-meublee-senegal-4584806,6.0,12.0,150.0,"Dakar Plateau, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-almadie-4550927,6.0,12.0,150.0,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-hann-bel-air-4574071,6.0,12.0,150.0,"Hann Bel-Air, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-mamelles-4534239,6.0,12.0,150.0,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-ngor-4581085,6.0,12.0,150.0,"Ngor, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-mamelles-4537857,6.0,12.0,250.0,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-r1-ngor-amadies-4580292,6.0,12.0,150.0,"Ngor, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-04-pieces-mbao-4579917,3.0,6.0,150.0,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-08-pieces-cite-biagui-4535215,6.0,12.0,250.0,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-ngor-almadies-4546689,6.0,12.0,150.0,"Ngor, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-keur-massar-4577978,3.0,6.0,157.0,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-sicap-liberte-2-4529300,6.0,12.0,150.0,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-06-pieces-mbour-4576291,6.0,12.0,250.0,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-fann-4575788,6.0,12.0,150.0,"Fann, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-cite-africa-4527231,6.0,12.0,150.0,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-rufisque-4574699,3.0,6.0,150.0,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-keur-massar-4574254,6.0,12.0,150.0,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-10-pieces-point-e-4529772,6.0,12.0,150.0,"Point E, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villas-8-pieces-guediawaye-4573336,3.0,6.0,192.0,"Guediawaye, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-keur-massar-4573066,6.0,12.0,150.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-mamelles-4524012,3.0,6.0,160.0,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-05-pieces-dakar-4571645,6.0,12.0,200.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-almadies-4522044,6.0,12.0,200.0,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-11-pieces-rufisque-4528275,6.0,12.0,150.0,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-maison-r1-kounoune-4568552,3.0,6.0,150.0,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-sicap-keur-massar-4521126,3.0,6.0,160.0,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-cite-apix-vdn-3-4520791,3.0,6.0,150.0,"Cambérène, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-05-pieces-keur-massar-4565941,3.0,6.0,150.0,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-sacre-coeur-4520686,3.0,12.0,178.0,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pices-balacoss-saint-louis-4565521,6.0,12.0,240.0,"Saint Louis, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-r2-keur-massar-4565217,3.0,6.0,150.0,"Almadies 2, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-keur-massar-4564121,3.0,6.0,150.0,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-05-pieces-ouest-foire-4563128,3.0,6.0,150.0,"Ouest Foire, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-mbour-4562881,6.0,12.0,150.0,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-keur-massar-4562455,6.0,12.0,150.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-05-pieces-pikine-4561388,3.0,6.0,150.0,"Pikine, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-r2-rond-point-goygui-unite-4-4560815,6.0,12.0,150.0,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-sacre-coeur-3-vdn-4560531,6.0,12.0,150.0,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa11-pieces-almadies-4560521,6.0,12.0,200.0,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-keur-massar-4516600,3.0,6.0,150.0,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-duplex-5-pieces-ouest-foire-4516590,3.0,6.0,150.0,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-residence-horizon-vdn-4558837,6.0,12.0,150.0,"Ouest Foire, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-camberene-4558478,6.0,12.0,150.0,"Cambérène, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-4558476,6.0,12.0,150.0,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa7-pieces-rufisque-4556653,3.0,6.0,150.0,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-campement-ndangane-4556543,6.0,12.0,150.0,"Fatick, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-05-pieces-keur-massar-4555924,6.0,12.0,150.0,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-dieuppeul-derkle-4512345,6.0,12.0,200.0,"Dieuppeul-Derklé, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-sicap-darabis-4511840,3.0,6.0,180.0,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-magasin-virage-4511094,6.0,12.0,150.0,"Ngor, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-mamelles-4507261,6.0,12.0,150.0,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-point-e-4507668,6.0,12.0,150.0,"Point E, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-point-e-4507676,6.0,12.0,150.0,"Point E, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-almadies-4552192,6.0,12.0,150.0,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-point-e-4506496,6.0,12.0,150.0,"Point E, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-rufisque-4506484,3.0,6.0,150.0,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-almadies-4512001,6.0,12.0,260.0,"Ngor, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-sacre-coeur-4508178,6.0,12.0,150.0,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-mermoz-sacre-coeur-4548853,3.0,6.0,150.0,"Mermoz-Sacré Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-4548608,3.0,6.0,170.0,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-2-pieces-keur-massar-4548382,3.0,6.0,193.0,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villas-3-pieces-sacre-coeur-4548200,3.0,6.0,179.0,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-05-pieces-mamelles-4510363,6.0,12.0,150.0,"Dakar, Sénégal"
